shipper_id,shipper_name,shipper_company,shipper_vehicle,shipper_experience_years,shipper_rating,delivery_success_rate,join_date,shipper_phone,shipper_age,shipper_marital_status,shipper_education,city,region,district
SHP00001,Bùi Văn Long,Viettel Post,Truck,7,5.0,99.0,2026-03-17,991476209,27,Married,Bachelor,Phan Rang-Thap Cham,Central,District #25
SHP00002,Trần Anh Khánh,J&T Express,Van,2,4.9,98.4,2025-01-29,959297982,41,Married,Bachelor,Phan Thiet,Central,District #29
SHP00003,Hoàng Thị Khánh,GHN,Motorbike,10,4.8,95.1,2019-11-13,927142576,30,Single,High School,Long Xuyen,West,District #34
SHP00004,Trần Đức Vy,Viettel Post,Truck,8,5.0,96.3,2025-12-22,971617475,42,Married,College,Kon Tum,Central,District #27
SHP00005,Trần Minh Cường,BEST Express,Truck,10,4.6,95.7,2019-12-19,979196342,31,Married,College,Da Nang,Central,District #23
SHP00006,Võ Thanh Nam,J&T Express,Van,9,4.7,96.0,2024-02-02,951235544,41,Married,Bachelor,Hoi An,Central,District #29
SHP00007,Hoàng Anh Hùng,BEST Express,Truck,6,4.4,99.6,2024-06-06,987597617,34,Single,High School,Phu Ly,East,District #09
SHP00008,Phạm Thanh Trang,BEST Express,Truck,5,4.7,95.9,2022-03-11,914419500,34,Married,Bachelor,Lao Cai,East,District #16
SHP00009,Nguyễn Thanh Bình,BEST Express,Truck,12,4.3,97.4,2022-10-06,909770946,53,Married,College,Phu Ly,East,District #10
SHP00010,Bùi Đức Bình,Ahamove,Motorbike,8,4.5,99.5,2022-08-10,921691981,31,Single,Bachelor,Tra Vinh,West,District #37
SHP00011,Võ Thị Hùng,J&T Express,Van,5,4.6,98.4,2023-03-23,940850445,43,Single,High School,Son Tay,East,District #03
SHP00012,Nguyễn Thị Bình,GHTK,Motorbike,6,4.7,97.2,2023-10-01,972210652,49,Single,Bachelor,Ha Long,East,District #07
SHP00013,Lê Anh Hà,BEST Express,Truck,10,4.2,97.7,2025-10-28,984678290,39,Single,College,Tam Ky,Central,District #23
SHP00014,Lê Gia Vy,J&T Express,Van,8,4.8,96.3,2018-02-10,971290529,50,Single,Bachelor,Phan Thiet,Central,District #32
